id,type,num_cores,voltages_frequencies,ISL,capacitance,powerIdle,battery_capacity,battery_now,error_rate,acceptableTasks,handleSafeTask,maxQueue,name
0,iot,8,"[[(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.15909238733853986,"[2.253169373870098e-10, 2.4699091131287544e-10, 2.7464950719854267e-10, 2.07764224073955e-10, 2.2211792929801264e-10, 2.1961586252673126e-10, 2.1763957706129335e-10, 2.858647445612356e-10]","[0.001, 0.001, 0.0009, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.001]",39575369.726671584,100,0.046909654919072535,"[2, 1, 4]",1,5,iot0
1,iot,16,"[[(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.1392144719501272,"[2.338630271247123e-10, 2.956270435129273e-10, 2.2452414099141826e-10, 2.7007569918314507e-10, 2.487380887568174e-10, 2.1621241495990568e-10, 2.2616923269570142e-10, 2.990829323866618e-10, 2.876822718131197e-10, 2.268645815718544e-10, 2.3186399842922155e-10, 2.684677366945559e-10, 2.9308868921190887e-10, 2.80544452246729e-10, 2.444898863944677e-10, 2.1216364490374277e-10]","[0.0009, 0.0009, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.001, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009]",38464110.21982897,100,0.019036940871291777,"[4, 3, 2]",1,5,iot1
2,iot,4,"[[(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)]]",0.18217047201619346,"[2.1674775079270916e-10, 2.4393457323093055e-10, 2.413523097513323e-10, 2.1558306468180848e-10]","[0.001, 0.0009, 0.0009, 0.0009]",38453187.02036147,100,0.018947852789059694,"[1, 2, 4]",1,5,iot2
3,iot,16,"[[(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (20000000.0, 2.3), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)]]",0.13563609653240105,"[2.3373585448772653e-10, 2.149778314651906e-10, 2.5639460032497827e-10, 2.2426966029227285e-10, 2.1540279388110013e-10, 2.706725487096105e-10, 2.966961388277437e-10, 2.80765409653479e-10, 2.2489272598149129e-10, 2.5639193925577225e-10, 2.081507520610178e-10, 2.906721725414776e-10, 2.6228069098053485e-10, 2.0998220819871868e-10, 2.0985476499188426e-10, 2.969388331286609e-10]","[0.0007999999999999999, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.001, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.001, 0.001, 0.0009, 0.0009, 0.001]",36141872.93147798,100,0.04102735208356095,"[2, 4, 1]",1,5,iot3
4,iot,8,"[[(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.14790156617891384,"[2.707324836882619e-10, 2.3602307145509756e-10, 2.2243659666897936e-10, 2.4888496342008225e-10, 2.0747031799064032e-10, 2.818016859123826e-10, 2.726038053809697e-10, 2.4662126436585224e-10]","[0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0009, 0.001, 0.0007999999999999999]",40852940.505942374,100,0.03118266540320147,"[2, 4, 1]",1,5,iot4
5,iot,4,"[[(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)]]",0.13889405988433234,"[2.09010748475635e-10, 2.583174629868845e-10, 2.2295700857969117e-10, 2.6307553523063615e-10]","[0.0007999999999999999, 0.001, 0.001, 0.0009]",39745970.45402694,100,0.02480823107753388,"[4, 2, 1]",1,5,iot5
6,iot,16,"[[(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.10835202625960164,"[2.3184289225379456e-10, 2.1943332538096125e-10, 2.0656671977529205e-10, 2.3086616570688855e-10, 2.4963071215954235e-10, 2.4928106805606637e-10, 2.1341931193569458e-10, 2.8884691736236677e-10, 2.7744126383792226e-10, 2.5339964213867e-10, 2.411580927513652e-10, 2.892456749371543e-10, 2.019871450388983e-10, 2.5110499666625713e-10, 2.1532260076198166e-10, 2.0957188506700243e-10]","[0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.001, 0.0009, 0.0009, 0.0009, 0.0009, 0.0009]",38005326.32516839,100,0.0267822004178735,"[4, 2, 1]",1,5,iot6
7,iot,8,"[[(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.16997257350274964,"[2.451248864873493e-10, 2.861572216727467e-10, 2.692495691141723e-10, 2.263887837811208e-10, 2.8910355228234347e-10, 2.1207617941130665e-10, 2.716733198804513e-10, 2.816421376650369e-10]","[0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.001, 0.001]",38135325.04792975,100,0.0344595354667216,"[3, 2, 1]",1,5,iot7
8,iot,8,"[[(40000000.0, 2.7), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)]]",0.15934014235456792,"[2.0911769279100292e-10, 2.129131790020156e-10, 2.35956634862203e-10, 2.801758494040583e-10, 2.666141513090281e-10, 2.9730832640756477e-10, 2.838663873791123e-10, 2.1039258424066673e-10]","[0.0009, 0.0009, 0.001, 0.0009, 0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.001]",36301524.73749698,100,0.04110725833086715,"[3, 2, 4]",0,5,iot8
9,iot,8,"[[(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)]]",0.10907725976384433,"[2.0170922272720102e-10, 2.4308193123054037e-10, 2.373013673298994e-10, 2.435656041752083e-10, 2.330064066056579e-10, 2.1273566864199536e-10, 2.632162497009741e-10, 2.540102405897863e-10]","[0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0007999999999999999]",38974362.499981314,100,0.01298699916202791,"[1, 3, 2]",1,5,iot9
